"filename","measure","location","sex","age","cause","rei","metric","year","val","upper","lower"
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","All risk factors","Percent",2021,0.392371468339504,0.541678981700571,0.256129759529788
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","All risk factors","Percent",2021,0.239999681412163,0.446368796759136,0.0508851869028818
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.84733984555,2.94275394215,1.02671078049
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,0.64920505231,1.33556133605,0.1365194092
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","High body-mass index","Percent",2021,-0.0155470710223634,0.0002549506231025,-0.0281002558623083
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","High body-mass index","Percent",2021,-0.0052432295423521,0.0149916671268343,-0.0165147454171065
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.07302971225,0.00157095744,-0.14315239618
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.01408517773,0.03847854516,-0.04894068135
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Percent",2021,0.202548718871077,0.394532584488334,0.0222490260091404
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Percent",2021,0.218125275297292,0.423523507098791,0.0242420933268478
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,0.95502015733,2.15466970908,0.10203226057
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,0.59012300261,1.2569686984,0.06192339076
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","Smoking","Percent",2021,0.295492257232159,0.319180144210322,0.271552922154943
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","Smoking","Percent",2021,0.0507208512343173,0.0649806357008805,0.0386356272702648
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.93821917907,1.23583710017,0.67369166447
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.15096876039,0.23734091544,0.09265878903
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","Tobacco","Percent",2021,0.295492257232159,0.319180144210322,0.271552922154943
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","Tobacco","Percent",2021,0.0507208512343173,0.0649806357008805,0.0386356272702647
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.93821917907,1.23583710017,0.67369166447
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.15096876039,0.23734091544,0.09265878903
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","All risk factors","Percent",2021,0.460968148696335,0.65034416760444,0.310183963656288
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","All risk factors","Percent",2021,0.324254937209906,0.602684297074789,0.0732435629480113
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.46235201848,2.22231288439,0.8477805426
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,0.96761276053,2.06361311272,0.19760067075
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","High body-mass index","Percent",2021,-0.0060195393730697,0.0064329200877455,-0.0146764287023769
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","High body-mass index","Percent",2021,-0.0023072264138007,0.015009715848264,-0.0129524515371014
"1","Deaths","Lao People's Democratic Republic","Male","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.01911320771,0.02050975322,-0.04956641133
"1","Deaths","Lao People's Democratic Republic","Female","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.00675116498999999,0.04368377676,-0.04092634573
"1","Deaths","Democratic People's Republic of Korea","Male","Age-standardized","Pancreatic cancer","Metabolic risks","Percent",2021,0.190097782730384,0.387717726041976,0.0115457512877196
"1","Deaths","Democratic People's Republic of Korea","Female","Age-standardized","Pancreatic cancer","Metabolic risks","Percent",2021,0.213107991436164,0.423990800128949,0.0133047993280568
