"filename","measure","location","sex","age","cause","rei","metric","year","val","upper","lower"
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.16689909607,2.03229952185,0.52874250811
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.03776096724,0.01383031399,-0.0768566553
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,0.74408449644,1.63861720126,0.07758594055
"1","Deaths","Lao People's Democratic Republic","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.52290311739,0.69057155404,0.3730033559
"1","Deaths","Lao People's Democratic Republic","Both","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.52290311739,0.69057155404,0.3730033559
"1","Deaths","Lao People's Democratic Republic","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.20404998446,2.14169493905,0.5309871995
"1","Deaths","Lao People's Democratic Republic","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.01264338785,0.03096471306,-0.04429722581
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","Metabolic risks","Rate",2021,0.71226463958,1.59068490526,0.04116931281
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","Behavioral risks","Rate",2021,0.5562914249,0.77585613686,0.3733154838
"1","Deaths","Taiwan (Province of China)","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.98674974084,1.13507921978,0.84420237428
"1","Deaths","Cambodia","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.59296514292,0.75845461102,0.43125228987
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","Metabolic risks","Rate",2021,0.91201814259,2.00525475091,0.06517948135
"1","Deaths","Taiwan (Province of China)","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,2.71333466187,4.38262363284,1.11562531622
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","Behavioral risks","Rate",2021,0.57638287565,0.75731002611,0.41330853368
"1","Deaths","Cambodia","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.21672247445,2.04569141334,0.59105533027
"1","Deaths","China","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,1.08633086465,1.3846961158,0.82769325175
"1","Deaths","Cambodia","Both","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.59296514292,0.75845461102,0.43125228987
"1","Deaths","Cambodia","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.02917925138,0.0085137539,-0.06306312829
"1","Deaths","China","Both","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,1.08633086465,1.3846961158,0.82769325175
"1","Deaths","Taiwan (Province of China)","Both","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.98674974084,1.13507921978,0.84420237428
"1","Deaths","China","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,2.10194866888,3.20120596545,1.10907542534
"1","Deaths","Taiwan (Province of China)","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,0.04734835089,0.24509087224,-0.06738752714
"1","Deaths","China","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,0.00403912198,0.12503369861,-0.07092046924
"1","Deaths","Cambodia","Both","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,0.77039196903,1.69664729974,0.06243506376
"1","Deaths","China","Both","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,1.24932260279,2.39316290847,0.13880875769
"1","Deaths","Taiwan (Province of China)","Both","Age-standardized","Pancreatic cancer","High fasting plasma glucose","Rate",2021,1.95532183773,3.79461599508,0.2366069568
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.57638287565,0.75731002611,0.41330853368
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","All risk factors","Rate",2021,1.35627338126,2.35992610858,0.61491188688
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","Tobacco","Rate",2021,0.57638287565,0.75731002611,0.41330853368
"1","Deaths","Indonesia","Both","Age-standardized","Pancreatic cancer","High body-mass index","Rate",2021,-0.02329946143,0.02894538131,-0.06595337399
"1","Deaths","Democratic People's Republic of Korea","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.5562914249,0.77585613686,0.3733154838
"1","Deaths","Maldives","Both","Age-standardized","Pancreatic cancer","Smoking","Rate",2021,0.33403631748,0.42702869166,0.25330970397
