"location","n_risk_factors","cpaf"
"Sudan",41,2.59997825958628
"Iraq",41,2.59962404384492
"Egypt",41,2.52650869906155
"Bahrain",41,2.50779557863329
"United Arab Emirates",41,2.50030621318843
"Libya",41,2.494191181923
"Afghanistan",41,2.48256081354574
"Uzbekistan",41,2.38240276533492
"Kuwait",41,2.36583314371662
"Qatar",41,2.3646277843687
"Iran (Islamic Republic of)",41,2.34220833449394
"Tajikistan",41,2.32246915109519
"Azerbaijan",41,2.30601976243862
"Syrian Arab Republic",41,2.30560586479002
"Oman",41,2.29507728475915
"Morocco",41,2.26655550227023
"Lebanon",41,2.15222687619452
"Kazakhstan",41,2.13151599843473
"Saudi Arabia",41,2.09647006841736
"Yemen",41,2.08901803766265
"Mongolia",41,2.03862444206729
"Palestine",41,2.03241096303128
"Jordan",41,2.02140923697465
"Pakistan",41,2.00431699257582
"Kyrgyzstan",41,1.98710209868096
"Turkmenistan",41,1.97570934863606
"Algeria",41,1.94140117018349
"Tunisia",41,1.93905584852965
"Nepal",41,1.93774609443925
"Ukraine",41,1.90465064220611
"Armenia",41,1.89743238079972
"Nauru",41,1.8643502717252
"Republic of Moldova",41,1.85984218712967
"Turkey",41,1.84319457878985
"Tonga",41,1.83218111801641
"Georgia",41,1.81638947764898
"Bahamas",41,1.7625494158611
"Palau",41,1.73464253750697
"Liberia",41,1.71855093506643
"Belarus",41,1.71663811535259
"India",41,1.71515883304046
"Vanuatu",41,1.71068353737661
"American Samoa",41,1.69960818244068
"Papua New Guinea",41,1.67543527520368
"Dominica",41,1.66250609914675
"Antigua and Barbuda",41,1.65052431412531
"Estonia",41,1.64818881740617
"Haiti",41,1.64101282019252
"Côte d'Ivoire",41,1.63179395589751
"Sierra Leone",41,1.61705540100533
"Cook Islands",41,1.60696862172108
"Mauritania",41,1.59910215677371
"Guatemala",41,1.58941390873216
"Botswana",41,1.58922323731991
"Niger",41,1.57982858214311
"Bhutan",41,1.56771982320644
"Cameroon",41,1.5610428775516
"Tuvalu",41,1.56102263412402
"Micronesia (Federated States of)",41,1.56020449625356
"Bangladesh",41,1.5585071684506
"Samoa",41,1.55429584729859
"Northern Mariana Islands",41,1.54845374798878
"Nigeria",41,1.53755428794374
"North Macedonia",41,1.5321765629675
