"location","year","ASR","SDI","frontier","eff_diff","trend"
"Afghanistan",2023,28.6210727057106,0.333711266033942,11.4249691814757,17.1961035242349,"Decrease"
"Albania",2023,0.770286777210724,0.706767037877582,0.213256041350334,0.55703073586039,"Decrease"
"Algeria",2023,5.45088804035333,0.657757115515377,0.249100876145447,5.20178716420788,"Decrease"
"American Samoa",2023,1.75664019578694,0.743030595436811,0.12731022581928,1.62932996996766,"Decrease"
"Andean Latin America",2023,7.72571111569163,0.678674877080937,0.21937570277764,7.50633541291399,"Decrease"
"Andorra",2023,1.29851539890587,0.87985583879149,0.0303376788556806,1.26817772005019,"Decrease"
"Angola",2023,62.5579722436944,0.499296938208603,1.54463343531884,61.0133388083756,"Decrease"
"Antigua and Barbuda",2023,0.294627581194013,0.755852569383738,0.0995616232006115,0.195065957993402,"Decrease"
"Argentina",2023,1.48859159963441,0.764786183499702,0.0898227379285008,1.39876886170591,"Decrease"
"Armenia",2023,0.655315360830918,0.71733491661994,0.212490592988533,0.442824767842385,"Decrease"
"Australasia",2023,0.130741602014292,0.855660216568271,0.0306363610827734,0.100105240931519,"Decrease"
"Australia",2023,0.135035557853087,0.852886302704814,0.0305868291451273,0.10444872870796,"Decrease"
"Austria",2023,0.232068896978633,0.853959728483832,0.0300772183447799,0.201991678633853,"Decrease"
"Azerbaijan",2023,4.60144301946815,0.70529792647176,0.213791141660712,4.38765187780744,"Decrease"
"Bahamas",2023,1.1295802153156,0.813601011164283,0.0377269836914502,1.09185323162415,"Decrease"
"Bahrain",2023,1.24493311417473,0.784320905201141,0.0674276823955982,1.17750543177913,"Decrease"
"Bangladesh",2023,13.3524544657609,0.517107281522032,1.43283231706354,11.9196221486974,"Decrease"
"Barbados",2023,0.277036252438839,0.754794961494181,0.0973241225414918,0.179712129897347,"Decrease"
"Belarus",2023,1.38828383145804,0.803625792311098,0.0476046562874865,1.34067917517055,"Decrease"
"Belgium",2023,0.212512014753107,0.876976214797955,0.0305348394768502,0.181977175276257,"Decrease"
"Belize",2023,2.72045798849144,0.628475097838814,0.359169225052078,2.36128876343936,"Decrease"
"Benin",2023,38.7981525674887,0.406496259513621,7.42223992982694,31.3759126376618,"Decrease"
"Bermuda",2023,0.0299881198780268,0.826940373702311,0.0299881198780268,0,"Decrease"
"Bhutan",2023,25.227734668897,0.524253930154343,1.36334447162855,23.8643901972684,"Decrease"
"Bolivia (Plurinational State of)",2023,12.6519467562336,0.631803304397271,0.345886933651431,12.3060598225822,"Decrease"
"Bosnia and Herzegovina",2023,1.45697433613635,0.712915296147722,0.212427816703633,1.24454651943272,"Decrease"
"Botswana",2023,24.1976618290439,0.677582004566928,0.221801222636065,23.9758606064078,"Decrease"
"Brazil",2023,2.86722460326867,0.683949752582203,0.219324645866311,2.64789995740236,"Decrease"
