"V1","filename","measure","location","sex","age","cause","metric","year","val","upper","lower"
691,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1992,2.2593838730845,2.84128146596955,1.38191864271059
709,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1992,1.80648440185019,2.08010891547459,1.42933627054375
733,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1992,2.113371088418,2.40467012802006,1.78160637381355
757,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1992,2.23444602505217,2.48989323431144,1.76866345039776
781,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1992,4.66208850628247,5.26334423765983,3.84724949443366
790,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1992,2.05688383858719,2.23887739273143,1.70741555309351
814,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1992,13.5943900665547,16.4764504858528,10.677236373919
2164,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1990,2.2870273735731,2.87961914014225,1.39605607811261
2182,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1990,1.84011005061802,2.13152674675506,1.45266721641115
2206,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1990,2.09569048493375,2.39429013168446,1.75717087684669
2230,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1990,2.27366323720662,2.52919463301493,1.8326132680713
2254,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1990,4.59025543381508,5.16683044019585,3.82051310840731
2263,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1990,2.06886691290869,2.25443773363627,1.70181785820566
2287,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1990,13.0306566769368,15.8568243957055,10.1053094473998
9030,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1991,2.26891723011247,2.85665835713903,1.39764028013355
9048,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1991,1.81337076433222,2.09104308209609,1.42787277364374
9072,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1991,2.10873604261348,2.39135705366707,1.75916877535403
9096,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1991,2.24942647564989,2.49623566075527,1.79640920556782
9120,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1991,4.6100445082773,5.18580697591257,3.79497546130286
9129,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1991,2.05609304339382,2.24433666451229,1.70312156270242
9153,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1991,13.4134607724737,16.3272209682006,10.4947128584274
24230,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1994,2.20789465032049,2.7755203622696,1.36262355432836
24248,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1994,1.83058108931313,2.08849320093538,1.43771152758931
24272,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1994,2.09508973186686,2.39090881553869,1.77601231154236
24296,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1994,2.25979095497037,2.51717690683859,1.80711969890246
24320,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1994,4.80319546688693,5.3879033387783,3.88927170922962
24329,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1994,2.0563972237737,2.24005118866347,1.68784629169491
24353,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1994,13.7809973210402,16.5906750958893,10.8485377904732
48586,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1997,2.12660300578723,2.63707435527458,1.34988783297982
48604,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1997,1.86716037379099,2.12123009352064,1.4557468768159
48628,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1997,2.04087512819426,2.28378771516732,1.6835337140757
48652,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1997,2.21896678754751,2.43612276082509,1.79479615112574
48676,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1997,4.75751317275411,5.26587665486467,3.84892163435052
48685,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1997,2.02522935960494,2.20275403141175,1.66389784799993
48709,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1997,14.5143047787175,17.3101903845754,11.4304652364198
53126,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1995,2.18719771406872,2.75578312488318,1.33881139522814
53144,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1995,1.82767014042136,2.08957768759429,1.43743017360079
53168,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1995,2.07624349070706,2.36150883868214,1.75759031777672
53192,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1995,2.25910490043437,2.49137872762625,1.81202905476717
53216,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1995,4.87961991078563,5.47983851432149,3.92166032098323
53225,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1995,2.05996229437553,2.23846841185846,1.68992160262422
53249,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1995,14.184451739656,17.0355071569979,11.1878503295305
65654,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1998,2.08336148890634,2.56580487725205,1.32418714558053
65672,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1998,1.83724269773062,2.07700785719149,1.42777262904842
65696,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1998,1.99343042783409,2.22486270901474,1.65398312386102
65720,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1998,2.20395798397912,2.41433325156779,1.76988528146035
65744,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1998,4.72001397709038,5.23117867626769,3.8514756171351
65753,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1998,2.00165201694211,2.17287116784269,1.64090478644886
65777,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1998,14.4168897454433,17.0520546456385,11.2859571817013
76835,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",1999,2.04527543107321,2.48782374083739,1.31254775445958
76853,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1999,1.8533765149249,2.11519152641364,1.4526425319879
76877,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1999,1.97128867039618,2.20625872201808,1.63973824369862
76901,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1999,2.18709624059189,2.40914402170045,1.74759664510437
76925,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1999,4.73237585213604,5.2257682495042,3.8611655905523
76934,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1999,1.9931143966656,2.15250294839088,1.64560552481903
76958,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1999,14.5638723214803,17.1524793200481,11.3564985847845
85337,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",2000,2.01874120149879,2.44333427666702,1.30212156969722
85355,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",2000,1.84772793793137,2.10409107652189,1.45994284015387
85379,1,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",2000,1.9717647352516,2.19929103479739,1.63875516983886
85403,1,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",2000,2.17675358163329,2.40432504451937,1.7277001333906
85427,1,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",2000,4.70544850772056,5.15019370660777,3.85347106278959
85436,1,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",2000,1.979326826291,2.13996813022338,1.61687242881622
85460,1,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",2000,14.7850730688723,17.4296402175888,11.4659933930684
95810,1,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",2001,1.98716677679536,2.41609364325373,1.29921775750231
95828,1,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",2001,1.82560335974703,2.07140235399046,1.43764581696182
