"year","forecast","lower_80","upper_80","lower_95","upper_95"
2022,1.72213247982228,1.70600001192793,1.73826494771662,1.69745999928793,1.74680496035663
2023,1.70631597210707,1.67733566195319,1.73529628226095,1.66199441245273,1.75063753176141
2024,1.69285830857047,1.65257145883736,1.73314515830357,1.6312448888296,1.75447172831133
2025,1.6805619683425,1.63038568668692,1.73073824999807,1.60382396765091,1.75729996903409
2026,1.66883737924562,1.60993165323072,1.72774310526051,1.5787488454898,1.75892591300143
2027,1.65739427882073,1.59067751832166,1.7241110393198,1.55535979869601,1.75942875894545
2028,1.64608976294452,1.57228723468303,1.71989229120602,1.5332185361835,1.75896098970554
2029,1.63485347602047,1.55454375742921,1.71516319461172,1.51203036044765,1.75767659159329
2030,1.62365078006998,1.5373025403989,1.70999901974107,1.49159254344972,1.75570901669024
2031,1.61246462187173,1.52046393590361,1.70446530783984,1.47176171463143,1.75316752911202
2032,1.60128660565983,1.50395679928655,1.69861641203311,1.45243351207962,1.75013969924004
2033,1.59011259796983,1.48772862272047,1.6924965732192,1.43352982012623,1.74669537581344
2034,1.57894056378446,1.47173947491529,1.68614165265363,1.41499064640618,1.74289048116275
2035,1.56776950120924,1.45595818300647,1.67958081941201,1.39676884650811,1.73877015591037
2036,1.55659891698418,1.44035985858893,1.67283797537943,1.37882661801725,1.73437121595112
2037,1.54542856826395,1.42492424748575,1.66593288904216,1.36113311339759,1.72972402313032
2038,1.53425833548918,1.40963459709566,1.65888207388269,1.34366277504738,1.72485389593097
2039,1.5230881597975,1.39447685768873,1.65169946190627,1.32639414691877,1.71978217267624
2040,1.5119180122094,1.37943910502073,1.64439691939808,1.30930900779475,1.71452701662405
2041,1.50074787845745,1.3645111134951,1.63698464341981,1.29239172652767,1.70910403038724
2042,1.48957775151742,1.34968403427972,1.62947146875512,1.27562877371503,1.70352672931981
2043,1.47840762793108,1.3349501482687,1.62186510759346,1.25900834583378,1.69780691002838
2044,1.46723750599585,1.32030267352397,1.61417233846773,1.24252007170602,1.69195494028569
2045,1.45606738487351,1.30573561310974,1.60639915663729,1.22615478025359,1.68597998949344
2046,1.44489726415138,1.29124363337131,1.59855089493145,1.20990431457407,1.6798902137287
2047,1.43372714362628,1.27682196549975,1.59063232175282,1.19376138151108,1.67369290574149
2048,1.42255702319819,1.26246632514187,1.58264772125451,1.17771942876482,1.66739461763156
2049,1.41138690281786,1.24817284616087,1.57460095947484,1.16177254361536,1.66100126202036
2050,1.40021678246103,1.23393802561224,1.56649553930982,1.14591536878422,1.65451819613784
