"year","forecast","lower_80","upper_80","lower_95","upper_95"
2024,11.120615787285,10.8775324629149,11.3636991116551,10.7488519239986,11.4923796505715
2025,10.5954934102655,10.0519860870754,11.1390007334555,9.76427068975505,11.4267161307759
2026,10.0703710332459,9.1609210430612,10.9798210234306,8.6794872994768,11.461254767015
2027,9.54524865622633,8.21395527488877,10.8765420375639,7.50921112919218,11.5812861832605
2028,9.02012627920676,7.21754926289112,10.8227032955224,6.26332263093767,11.7769299274759
2029,8.4950039021872,6.17636634446825,10.8136414599061,4.9489537638146,12.0410540405598
2030,7.96988152516763,5.09396669995305,10.8457963503822,3.57154935378126,12.368213696554
2031,7.44475914814807,3.97318067215604,10.9163376241401,2.135438036627,12.7540802596691
2032,6.91963677112851,2.81632730618919,11.0229462360678,0.644166485790624,13.1951070564664
2033,6.39451439410894,1.625351388517,11.1636773997009,-0.899291004496916,13.6883197927148
2034,5.86939201708938,0.401914163155361,11.3368698710234,-2.49239378075886,14.2311778149376
2035,5.34426964006982,-0.852543963296555,11.5410832434362,-4.13293893120189,14.8214782113415
2036,4.81914726305025,-2.13675852774931,11.7750530538498,-5.81899262641038,15.4572871525109
2037,4.29402488603069,-3.44960791981988,12.0376576918813,-7.54883951132997,16.1368892833913
2038,3.76890250901113,-4.79008838715853,12.3278934051808,-9.32094447921364,16.8587494972359
2039,3.24378013199156,-6.15729475861737,12.6448550226005,-11.1339231902522,17.6214834542353
2040,2.718657754972,-7.5504053078377,12.9877208177817,-12.9865189224288,18.4238344323728
2041,2.19353537795243,-8.96866968062979,13.3557404365347,-14.8775841080396,19.2646548639444
2042,1.66841300093287,-10.4113991327973,13.7482251346631,-16.8060654037343,20.1428914056001
2043,1.14329062391331,-11.877958539621,14.1645397874476,-18.7709914700766,21.0575727179032
2044,0.618168246893744,-13.3677597841477,14.6040962779352,-20.7714628598043,22.0077993535918
2045,0.0930458698741798,-14.8802562328634,15.0663479726118,-22.8066435691008,22.9927353088491
2046,-0.432076507145384,-16.4149380792081,15.5507850649173,-24.875753916115,24.0116009018242
2047,-0.957198884164947,-17.9713283872233,16.0569306188934,-26.9780644902428,25.0636667219129
2048,-1.48232126118451,-19.5489797055942,16.5843371832252,-29.1128909737515,26.1482484513824
2049,-2.00744363820407,-21.1474711505621,17.132583874154,-31.279589680479,27.2647024040708
2050,-2.53256601522364,-22.7664058774244,17.7012738469771,-33.4775536888267,28.4124216583794
