"year","forecast","lower_80","upper_80","lower_95","upper_95"
2022,1.73218488619531,1.7133392494669,1.75103052292373,1.70336297200436,1.76100680038627
2023,1.72162759446461,1.69497557470766,1.74827961422155,1.68086684769226,1.76238834123695
2024,1.7110703027339,1.67842696590593,1.74371363956187,1.66114662721575,1.76099397825205
2025,1.70051301100319,1.6628177874288,1.73820823457758,1.64286314143779,1.7581628805686
2026,1.68995571927249,1.64780886303733,1.73210257550765,1.62549766506427,1.75441377348071
2027,1.67939842754178,1.63322624673967,1.72557060834388,1.60878417065752,1.75001268442604
2028,1.66884113581107,1.61896661065972,1.71871566096243,1.59256463186786,1.74511763975429
2029,1.65828384408037,1.60496263406159,1.71160505409914,1.57673609051457,1.73983159764616
2030,1.64772655234966,1.59116755813471,1.7042855465646,1.56122703516793,1.73422606953139
2031,1.63716926061895,1.5775473398557,1.6967911813822,1.54598540151656,1.72835311972134
2032,1.62661196888825,1.56407628087932,1.68914765689717,1.530971887333,1.72225205044349
2033,1.61605467715754,1.55073441724865,1.68137493706643,1.51615596037994,1.71595339393513
2034,1.60549738542683,1.5375058735658,1.67348889728787,1.50151334133148,1.70948142952218
2035,1.59494009369612,1.52437777884812,1.66550240854413,1.48702434571833,1.70285584167392
2036,1.58438280196542,1.51133952616642,1.65742607776441,1.47267275164215,1.69609285228869
2037,1.57382551023471,1.49838225153273,1.64926876893669,1.45844500280318,1.68920601766624
2038,1.563268218504,1.48549845754713,1.64103797946088,1.44432963291771,1.6822068040903
2039,1.5527109267733,1.47268173549409,1.6327401180525,1.43031684070119,1.67510501284541
2040,1.54215363504259,1.45992655613108,1.6243807139541,1.41639816990685,1.66790910017833
2041,1.53159634331188,1.44722810949107,1.6159645771327,1.40256626432494,1.66062642229882
2042,1.52103905158118,1.43458218035522,1.60749592280714,1.38881467733457,1.65326342582779
2043,1.51048175985047,1.42198505014362,1.59897846955732,1.37513772185851,1.64582579784243
2044,1.49992446811976,1.40943341868105,1.59041551755848,1.36153035071431,1.63831858552521
2045,1.48936717638906,1.39692434112784,1.58181001165027,1.34798806015837,1.63074629261974
2046,1.47880988465835,1.38445517663072,1.57316459268597,1.33450681135411,1.62311295796258
2047,1.46825259292764,1.37202354613684,1.56448163971845,1.32108296585419,1.61542222000109
2048,1.45769530119694,1.35962729744851,1.55576330494536,1.30771323215629,1.60767737023758
2049,1.44713800946623,1.34726447605528,1.54701154287718,1.29439462109462,1.59988139783784
2050,1.43658071773552,1.33493330061717,1.53822813485388,1.28112440834477,1.59203702712627
